x,y,z,
0.00000000,0.00000000,15.00000000,
-0.24954000,-19.99844360,15.00000000,
-4.24922895,-19.94853592,15.00000000,
-3.99968886,0.04990800,15.00000000,
-7.99937773,0.09981600,15.00000000,
-8.24891758,-19.89862823,15.00000000,
-12.24860668,-19.84872055,15.00000000,
-11.99906731,0.14972401,15.00000000,
-15.99875546,0.19963200,15.00000000,
-16.24829674,-19.79881287,15.00000000,
-20.24798393,-19.74890518,15.00000000,
-19.99844360,0.24954000,15.00000000,
-23.99813461,0.29944801,15.00000000,
-24.24767303,-19.69899559,15.00000000,
-28.24736214,-19.64908791,15.00000000,
-27.99782181,0.34935600,15.00000000,
-31.99751091,0.39926401,15.00000000,
-32.24705124,-19.59918213,15.00000000,
-36.24673843,-19.54927254,15.00000000,
-35.99720001,0.44917199,15.00000000,
-39.99688721,0.49908000,15.00000000,
-40.24642944,-19.49936485,15.00000000,
0.00000000,0.00000000,15.00000000,
-19.99961090,0.12477242,15.00000000,
-19.97465706,4.12469482,15.00000000,
0.02495448,3.99992228,15.00000000,
0.04990897,7.99984455,15.00000000,
-19.94970322,8.12461662,15.00000000,
-19.92474747,12.12453938,15.00000000,
0.07486346,11.99976730,15.00000000,
0.09981794,15.99968910,15.00000000,
-19.89979362,16.12446213,15.00000000,
-19.87483978,20.12438393,15.00000000,
0.12477242,19.99961090,15.00000000,
0.14972691,23.99953461,15.00000000,
-19.84988403,24.12430573,15.00000000,
-19.82493019,28.12422752,15.00000000,
0.17468140,27.99945641,15.00000000,
0.19963588,31.99937820,15.00000000,
-19.79997635,32.12414932,15.00000000,
-19.77502060,36.12407303,15.00000000,
0.22459036,35.99930191,15.00000000,
0.24954484,39.99922180,15.00000000,
-19.75006676,40.12399673,15.00000000,
